Run ID,Date,Total,Passed,Failed,Skipped,Timed Out,Pass Rate (%),Duration (ms)
"dbcb6045-546c-487d-9a59-4c4e6a06bcd5","6/14/2026, 10:15:04 AM",4,4,0,0,0,100,1428.4859999999999
"85de8bbf-909f-4b61-bf78-0849181a8707","6/14/2026, 8:15:03 AM",4,4,0,0,0,100,1432.2910000000002
"1f1f966f-95d3-41e2-97c3-007ec4e24b45","6/14/2026, 6:15:04 AM",4,4,0,0,0,100,1296.734
"89f330ad-30a9-4931-8552-1e873654c2eb","6/14/2026, 4:15:04 AM",4,4,0,0,0,100,1436.066
"161a19a7-6c0e-4530-927d-8b60e74d089d","6/14/2026, 2:15:03 AM",4,4,0,0,0,100,1388.7040000000002
"4f1c7bb2-dde9-4074-a743-163c17f26201","6/14/2026, 12:15:04 AM",4,4,0,0,0,100,1360.377
"9adef530-510a-4698-a14d-0070e9a679ba","6/13/2026, 10:15:04 PM",4,4,0,0,0,100,1386.5159999999998
"b04f24fd-4fdc-493a-9af8-cb15330d43e6","6/13/2026, 8:15:04 PM",4,4,0,0,0,100,1367.666
"f20fb041-c206-4425-88ce-70b6012d6a39","6/13/2026, 6:15:04 PM",4,4,0,0,0,100,1426.359
"02913dfe-46c3-43ee-9af0-d0faebee41dd","6/13/2026, 4:15:03 PM",4,4,0,0,0,100,1526.473
"f21049f2-015d-40e1-8609-eb7040e47484","6/13/2026, 2:15:04 PM",4,4,0,0,0,100,1282.011
"6abe1f4f-d7cd-460b-966f-ae6435365923","6/13/2026, 12:15:03 PM",4,4,0,0,0,100,1405.458
"986314d5-b266-4f07-97bf-739d5ca9931b","6/13/2026, 10:15:04 AM",4,4,0,0,0,100,1236.086
"32d72ad9-e3cd-4aa4-a56b-3bb23a9a3823","6/13/2026, 8:15:03 AM",4,4,0,0,0,100,1368.644
"db8b6e19-df48-4d44-9a50-97659b8a226d","6/13/2026, 6:15:04 AM",4,4,0,0,0,100,1437.375
"f3c92d89-3200-464b-a9ec-56e7a104fb38","6/13/2026, 4:15:04 AM",4,4,0,0,0,100,1384.673
"036156fe-08d9-4f44-ab7c-c860d21c78d7","6/13/2026, 2:15:03 AM",4,4,0,0,0,100,1424.871
"5e41b78e-038f-41fc-ae00-9ad0f17b5ef4","6/13/2026, 12:15:03 AM",4,4,0,0,0,100,1341.8470000000002
"42a6cce8-6ef1-4a30-84a2-972b622b088f","6/12/2026, 10:15:04 PM",4,4,0,0,0,100,1397.8470000000002
"d84073a4-4567-4d6b-897e-57902e8724ee","6/12/2026, 8:15:04 PM",4,4,0,0,0,100,1424.792
"f7b031f2-fcbc-42ae-9f54-e9857dfc2e92","6/12/2026, 6:15:04 PM",4,4,0,0,0,100,1468.944
"8afa8540-400c-4de4-add9-18d4a99a42c5","6/12/2026, 4:15:04 PM",4,4,0,0,0,100,1584.8399999999997
"4f494df1-f80e-4d23-b992-afcef302325b","6/12/2026, 2:15:03 PM",4,4,0,0,0,100,1507.109
"efcbe848-cabb-4a9f-b226-28d38b886fe6","6/12/2026, 12:15:04 PM",4,4,0,0,0,100,1409.933
"1ddb3a5b-eeda-4c01-b2a7-5cf6dfe339d9","6/12/2026, 10:15:03 AM",4,4,0,0,0,100,1413.0629999999999
"71ff62e0-3df3-4038-a9d7-fc1b170e55cc","6/12/2026, 8:15:04 AM",4,4,0,0,0,100,1375.662
"f6ee6fba-f44b-49df-98b9-8add06eb4fa1","6/12/2026, 6:15:04 AM",4,4,0,0,0,100,1489.3
"2a8c0fdc-a36b-4206-b262-ee99ad5d0498","6/12/2026, 4:15:04 AM",4,4,0,0,0,100,1507.078
